year,capex_specific
2022,5834456.175452115
2023,5493611.656611269
2024,5152767.137770424
2025,4811922.618929579
2026,4451028.42250986
2027,4090134.226090142
2028,3729240.029670424
2029,3368345.833250705
2030,3007451.636830987
2031,2917228.0877260575
2032,2827004.5386211276
2033,2736780.989516198
2034,2646557.4404112683
2035,2556333.891306339
2036,2466110.3422014094
2037,2375886.7930964795
2038,2285663.24399155
2039,2195439.69488662
2040,2105216.1457816907
2041,2075141.6294133808
2042,2045067.113045071
2043,2014992.596676761
2044,1984918.0803084513
2045,1954843.5639401414
2046,1924769.0475718316
2047,1894694.5312035216
2048,1864620.014835212
2049,1834545.498466902
2050,1804470.9820985922
