node,year_construction,capacity_existing
AT,2003,0.00283316761008531
AT,2004,0.00283316761008531
AT,2005,0.00283316761008531
AT,2006,0.00283316761008531
AT,2007,0.00283316761008531
AT,2008,0.00283316761008531
AT,2009,0.00283316761008531
AT,2010,0.015192347793625015
AT,2017,0.008539661619138992
BE,2009,0.11158751193395522
BE,2013,0.04347457839924501
BG,2003,0.02907913023653874
BG,2006,0.022718739277941546
BG,2010,0.19570697158844463
BG,2011,0.139357429104091
BG,2016,0.049492371581178696
BG,2017,0.020621703180250694
CH,2003,0.003838696905402425
CH,2004,0.003838696905402425
CH,2005,0.003838696905402425
CH,2006,0.003838696905402425
CH,2007,0.003838696905402425
CH,2008,0.003838696905402425
CH,2009,0.003838696905402425
CH,2010,0.020584316386219572
CH,2017,0.011570502399462846
CZ,2003,0.4783508546221489
CZ,2004,0.12577926763609026
CZ,2006,0.6361221285896339
CZ,2008,0.024668105348853775
CZ,2009,0.104531619978113
CZ,2010,0.4522992692599561
CZ,2012,0.10071749387588014
CZ,2013,0.08377456406259443
CZ,2020,0.12201705839561061
DE,2010,0.4782651787002101
DE,2011,0.1056668006382755
DE,2015,0.4645674592839857
DE,2018,0.022109903783063656
DK,2013,0.01300278272126322
EL,2013,0.00013428635793362974
EL,2014,0.02279081857649823
EL,2017,0.001428653780629785
EL,2020,0.0014398787692534824
ES,2004,0.006126891426982695
ES,2005,0.013347499448873035
ES,2008,0.04293352783853971
ES,2009,0.02335334276891854
ES,2017,0.19793373297186784
ES,2018,0.019201682593082692
FI,2003,0.0026751540697567966
FI,2004,0.009605032889033735
FI,2007,0.008056410224954971
FI,2008,0.007175502978882781
FI,2009,0.00905226251360225
FI,2010,0.01234175368135823
FI,2012,0.0030473980746265894
FI,2015,0.00669606729725622
FI,2016,0.005993442998403736
FI,2018,0.001695887243209765
FI,2020,0.0187399863612989
FI,2021,0.0016284132541673074
FI,2022,0.006479579042914421
FR,2003,0.0005014300392726844
FR,2004,0.0005014300392726844
FR,2005,0.0005014300392726844
FR,2006,0.008167649078666083
FR,2007,0.062102785330563494
FR,2008,0.0005014300392726844
FR,2009,0.0005014300392726844
FR,2010,0.08578925343645036
FR,2012,0.0023978695024192134
FR,2013,0.0024253579680836076
FR,2016,0.0004994366466771136
HU,2011,0.07400447198264626
HU,2016,0.07965061019963848
HU,2017,0.06533696982663234
IE,2003,0.07389661515637223
IE,2004,0.07389661515637223
IE,2005,0.07389661515637223
IE,2006,0.07389661515637223
IE,2007,0.07389661515637223
IE,2008,0.07389661515637223
IE,2009,0.18882954505723357
IE,2010,0.07389661515637223
IE,2011,0.05356103057527813
IE,2012,0.07507882534509
IE,2013,0.16660834272448158
LT,2006,0.0020539346085535204
LT,2009,0.014566494132063068
LT,2010,0.040988561266036894
LT,2011,0.058296064878747667
LT,2013,0.0536498843693794
LT,2016,0.02663311161417181
LT,2017,0.01742572369730888
LT,2018,0.0028885332003696917
NL,2015,0.010337588278946265
NL,2016,0.0034857667945748013
NL,2017,0.00037654611982416986
PL,2003,0.22751374674620292
PL,2004,0.8189697657277847
PL,2005,2.1511642387839984
PL,2006,3.3294905222746642
PL,2007,0.22751374674620292
PL,2008,1.4729444428436376
PL,2009,0.7149235604429277
PL,2010,1.3695063758375166
PL,2011,4.4715675187571335
PL,2012,0.9548864213807575
PL,2015,0.21881573764929685
PL,2016,0.05708100798720567
PL,2019,0.8847997848385257
PL,2020,0.9143244880074977
PL,2022,2.1092101413476905
RO,2014,0.05268241232382321
RO,2015,0.0183518193483222
RO,2018,0.0037691746166081267
RO,2019,0.010805091974636987
RO,2020,0.007235382309061402
SK,2011,0.004811944943447388
SK,2013,0.11647484166739075
SK,2017,0.0450608770746663
SK,2018,0.03867618701327086
SK,2019,0.047754184414837086
UK,2003,0.014984493941206491
UK,2004,0.014984493941206491
UK,2005,0.014984493941206491
UK,2006,0.014984493941206491
UK,2007,0.21265364168668774
UK,2008,0.13638022668874153
UK,2009,0.14665293182649836
UK,2010,0.014984493941206491
UK,2011,0.4148888167695535
UK,2013,0.49328308309966
UK,2017,0.038919788928757824
UK,2022,0.039968967649099026
